Flight,Departure,Arrival,Departure city,Arriving city,Flying time (hours),Pilots ,Cabin crew,Aircraft type,Assigned crew
SU101,2025-02-20 8:00,2025-02-20 12:00,Tallinn,Prague,4,2,2,Boeing 737,
SU202,2025-02-21 8:00,2025-02-21 18:00,Tallinn,Marakesh,10,4,6,Airbus A320,
SU303,2025-02-22 10:00,2025-02-22 16:00,Tallinn,Dubai,6,2,2,Airbus A320,
SU404,2025-02-23 8:00,2025-02-24 2:50,Talllnn ,Maldives,16.5,5,14,Airbus A380,
SU505,2025-02-24 12:00,2025-02-24 14:40,Tallinn,Luxembourg ,4.4,2,2,Embraier 190,
SU506,2025-02-25 8:00,2025-02-25 14:00,Tallinn,Dubai,6,2,2,Airbus A340,
SU507,2025-02-26 8:00,2025-02-26 14:00,Tallinn ,Dubai,6,2,2,Airbus A330,
SU508,2025-02-27 9:20,2025-02-27 14:00,Tallinn,Luxembourg ,4.4,2,2,Airbus A320,
SU509,2025-02-28 8:00,2025-02-28 14:00,Tallinn,Dubai,6,2,3,Airbus A330,
SU510,2025-03-01 6:00,2025-03-01 14:00,Tallinn,Oman,8,3,6,Airbus A340,
SU511,2025-03-02 5:00,2025-03-02 13:35,Tallinn,Doha,7.35,4,8,Boeing 777,
SU512,2025-03-03 8:00,2025-03-03 14:00,Tallinn,Dubai,6,2,3,Boeing 767,
SU513,2025-03-04 23:00,2025-03-05 14:40,Tallinn,Tokio,14.4,5,14,Boeing 777,
SU514,2025-03-05 8:00,2025-03-05 14:00,Tallinn,Dubai,6,2,2,Boeing 737,
SU515,2025-03-06 8:00,2025-03-06 22:40,Tallinn,Tokio,14.4,5,14,Airbus  A380,
